NDR_0,Freq_0,Freq_1,,NDR_1,Freq_0,Freq_1
0.05,0.61,0.39,,0.05,0.5,0.5
0.05,0.3529,0.647,,0.05,0.49,0.51
0.05,0.438,0.562,,0.05,0.33,0.667
0.1,0.552,0.448,,0.1,0.422,0.58
0.1,0.6,0.4,,0.1,0.29,0.71
0.1,0.575,0.425,,0.1,0.5,0.5
0.5,0.836,0.164,,0.5,0.158,0.842
0.5,0.828,0.172,,0.5,0.171,0.829
0.5,0.811,0.189,,0.5,0.18,0.82
0.7,0.875,0.125,,0.7,0.147,0.853
0.7,0.864,0.136,,0.7,0.127,0.873
0.7,0.882,0.118,,0.7,0.129,0.871
0.9,0.887,0.113,,0.9,0.095,0.905
0.9,0.899,0.101,,0.9,0.11,0.89
0.9,0.885,0.115,,0.9,0.115,0.885
1,0.918,0.082,,1,0.09,0.91
1,0.887,0.113,,1,0.097,0.903
1,0.904,0.096,,1,0.111,0.889
0.4,0.788,0.212,,0.4,0.19,0.81
0.4,0.86,0.194,,0.4,0.226,0.774
0.4,0.811,0.189,,0.4,0.212,0.788
0.3,0.754,0.246,,0.3,0.251,0.749
0.3,0.744,0.256,,0.3,0.224,0.776
0.3,0.758,0.242,,0.3,0.283,0.717
